"","user_id","sad.depressed","prev_sad","media_24_friend","prox_24_friend","phase_adv","friends_received_sqrt"
"1",2,1,1,0,0,0,2.23606797749979
"2",2,0,1,0,0,0,2.23606797749979
"3",2,0,0,3,0,0,2.23606797749979
"4",2,0,0,0,0,0,2.23606797749979
"5",2,1,0,0,0,0,2.23606797749979
"6",2,0,1,0,0,0,2.23606797749979
"7",2,1,0,0,0,0,2.23606797749979
"8",2,1,0,0,0,0,2.23606797749979
"9",2,0,1,1,0,0,2.23606797749979
"10",2,1,0,2,0,0,2.23606797749979
"11",2,1,1,1,0,0,2.23606797749979
"12",2,0,1,1,0,0,2.23606797749979
"13",2,0,1,1,0,0,2.23606797749979
"14",2,1,0,0,0,0,2.23606797749979
"15",2,1,1,1,0,0,2.23606797749979
"16",2,1,1,4,0,0,2.23606797749979
"17",2,0,1,1,0,0,2.23606797749979
"18",2,0,0,0,0,0,2.23606797749979
"19",2,1,0,4,0,0,2.23606797749979
"20",2,1,0,4,0,0,2.23606797749979
"21",2,1,1,0,0,0,2.23606797749979
"22",2,1,1,2,0,0,2.23606797749979
"23",2,1,1,2,0,0,2.23606797749979
"24",2,1,1,2,0,0,2.23606797749979
"25",2,1,1,0,0,0,2.23606797749979
"26",2,1,1,1,0,0,2.23606797749979
"27",2,1,1,1,0,0,2.23606797749979
"28",2,1,1,1,0,0,2.23606797749979
"29",2,0,1,0,0,0,2.23606797749979
"30",2,0,1,0,0,0,2.23606797749979
"31",2,0,1,0,0,0,2.23606797749979
"32",2,0,0,0,0,0,2.23606797749979
"33",2,1,0,2,0,0,2.23606797749979
"34",2,0,1,0,0,0,2.23606797749979
"35",2,0,0,0,0,0,2.23606797749979
"36",2,1,0,0,0,0,2.23606797749979
"37",2,1,1,0,0,0,2.23606797749979
"38",2,0,1,0,0,0,2.23606797749979
"39",2,1,0,0,0,0,2.23606797749979
"40",2,0,1,0,0,0,2.23606797749979
"41",2,0,0,0,0,0,2.23606797749979
"42",2,0,0,2,0,0,2.23606797749979
"43",2,0,0,2,0,0,2.23606797749979
"44",2,0,0,0,0,0,2.23606797749979
"45",2,0,0,1,0,0,2.23606797749979
"46",2,0,0,1,0,0,2.23606797749979
"47",2,0,0,0,0,0,2.23606797749979
"48",2,1,0,0,0,0,2.23606797749979
"49",2,0,1,0,0,0,2.23606797749979
"50",2,1,1,1,0,0,2.23606797749979
"51",2,1,1,1,0,0,2.23606797749979
"52",2,1,1,1,0,0,2.23606797749979
"53",2,1,1,2,0,0,2.23606797749979
"54",2,1,1,1,0,0,2.23606797749979
"55",2,1,1,0,0,0,2.23606797749979
"56",2,1,1,0,0,0,2.23606797749979
"57",2,1,1,0,0,0,2.23606797749979
"58",2,0,1,2,0,0,2.23606797749979
"59",2,0,0,0,0,0,2.23606797749979
"60",2,0,0,5,0,0,2.23606797749979
"61",2,0,0,4,0,0,2.23606797749979
"62",2,0,0,0,0,0,2.23606797749979
"63",2,0,0,2,0,0,2.23606797749979
"64",2,1,0,2,0,0,2.23606797749979
"65",2,1,1,1,0,0,2.23606797749979
"66",2,1,1,0,0,0,2.23606797749979
"67",2,1,1,0,0,0,2.23606797749979
"68",2,0,1,0,0,0,2.23606797749979
"69",2,0,0,0,0,0,2.23606797749979
"70",2,0,0,0,0,0,2.23606797749979
"71",2,0,0,0,0,0,2.23606797749979
"72",2,0,0,1,0,0,2.23606797749979
"73",2,0,0,0,0,0,2.23606797749979
"74",2,0,0,0,0,0,2.23606797749979
"75",2,0,0,0,0,0,2.23606797749979
"76",2,0,0,0,0,0,2.23606797749979
"77",2,1,0,2,0,0,2.23606797749979
"78",2,1,1,9,0,0,2.23606797749979
"79",2,1,1,4,0,0,2.23606797749979
"80",2,0,1,0,0,0,2.23606797749979
"81",2,0,0,5,0,0,2.23606797749979
"82",2,0,0,4,0,0,2.23606797749979
"83",2,0,0,5,0,0,2.23606797749979
"84",2,0,0,2,0,0,2.23606797749979
"85",2,0,0,6,0,0,2.23606797749979
"86",2,0,0,0,0,0,2.23606797749979
"87",2,0,0,3,0,0,2.23606797749979
"88",2,0,0,0,0,0,2.23606797749979
"89",2,0,0,0,0,0,2.23606797749979
"90",2,0,0,3,0,0,2.23606797749979
"91",2,0,0,0,0,0,2.23606797749979
"92",2,0,0,0,0,0,2.23606797749979
"93",2,0,0,0,0,0,2.23606797749979
"94",4,0,0,2,3,0,2.82842712474619
"95",4,0,0,1,0,0,2.82842712474619
"96",4,0,0,26,11,0,2.82842712474619
"97",4,0,0,10,56,0,2.82842712474619
"98",4,0,0,1,84,0,2.82842712474619
"99",4,0,0,8,16,0,2.82842712474619
"100",4,0,0,1,6,0,2.82842712474619
"101",4,0,0,7,32,0,2.82842712474619
"102",4,0,0,1,39,0,2.82842712474619
"103",4,0,0,11,7,0,2.82842712474619
"104",4,0,0,2,91,0,2.82842712474619
"105",4,0,0,6,26,0,2.82842712474619
"106",4,0,0,6,26,0,2.82842712474619
"107",4,0,0,4,59,0,2.82842712474619
"108",4,0,0,4,90,0,2.82842712474619
"109",4,0,0,19,8,0,2.82842712474619
"110",4,0,0,7,2,0,2.82842712474619
"111",4,0,0,3,3,0,2.82842712474619
"112",4,0,0,11,4,0,2.82842712474619
"113",4,0,0,0,2,0,2.82842712474619
"114",4,0,0,11,9,0,2.82842712474619
"115",4,0,0,0,0,0,2.82842712474619
"116",4,0,0,0,1,0,2.82842712474619
"117",4,0,0,7,3,0,2.82842712474619
"118",4,0,0,3,91,0,2.82842712474619
"119",4,0,0,4,86,0,2.82842712474619
"120",4,0,0,4,17,0,2.82842712474619
"121",4,0,0,0,14,0,2.82842712474619
"122",4,0,0,0,9,0,2.82842712474619
"123",4,0,0,0,9,0,2.82842712474619
"124",4,0,0,0,14,0,2.82842712474619
"125",4,0,0,9,22,0,2.82842712474619
"126",4,0,0,5,13,0,2.82842712474619
"127",4,0,0,0,13,0,2.82842712474619
"128",4,0,0,3,47,0,2.82842712474619
"129",4,0,0,3,47,0,2.82842712474619
"130",4,0,0,3,47,0,2.82842712474619
"131",4,0,0,22,14,0,2.82842712474619
"132",4,0,0,4,3,0,2.82842712474619
"133",4,0,0,4,3,0,2.82842712474619
"134",4,0,0,3,151,0,2.82842712474619
"135",4,0,0,12,90,0,2.82842712474619
"136",4,0,0,15,133,0,2.82842712474619
"137",4,0,0,6,84,0,2.82842712474619
"138",4,0,0,2,0,0,2.82842712474619
"139",4,0,0,14,152,0,2.82842712474619
"140",4,0,0,0,1,0,2.82842712474619
"141",4,0,0,7,4,0,2.82842712474619
"142",4,0,0,2,16,0,2.82842712474619
"143",4,0,0,0,11,0,2.82842712474619
"144",4,0,0,6,3,0,2.82842712474619
"145",4,0,0,26,10,0,2.82842712474619
"146",4,0,0,20,13,0,2.82842712474619
"147",4,0,0,3,66,0,2.82842712474619
"148",4,0,0,7,136,0,2.82842712474619
"149",4,0,0,4,1,0,2.82842712474619
"150",4,0,0,3,122,0,2.82842712474619
"151",4,0,0,3,123,0,2.82842712474619
"152",4,0,0,2,83,0,2.82842712474619
"153",4,0,0,1,95,0,2.82842712474619
"154",4,0,0,8,93,0,2.82842712474619
"155",4,0,0,11,2,0,2.82842712474619
"156",4,0,0,14,0,0,2.82842712474619
"157",4,0,0,7,0,0,2.82842712474619
"158",4,0,0,0,0,0,2.82842712474619
"159",4,0,0,1,0,0,2.82842712474619
"160",4,0,0,6,119,0,2.82842712474619
"161",4,0,0,5,180,0,2.82842712474619
"162",4,0,0,0,56,0,2.82842712474619
"163",4,0,0,0,133,0,2.82842712474619
"164",4,0,0,5,186,0,2.82842712474619
"165",4,0,0,5,132,0,2.82842712474619
"166",4,0,0,7,124,0,2.82842712474619
"167",4,1,0,5,83,0,2.82842712474619
"168",4,0,1,0,0,0,2.82842712474619
"169",4,0,1,0,0,0,2.82842712474619
"170",4,0,0,1,1,0,2.82842712474619
"171",4,0,0,1,4,0,2.82842712474619
"172",4,0,0,1,4,0,2.82842712474619
"173",4,0,0,0,82,0,2.82842712474619
"174",4,0,0,9,24,0,2.82842712474619
"175",4,0,0,11,109,0,2.82842712474619
"176",4,0,0,8,205,0,2.82842712474619
"177",4,0,0,0,71,0,2.82842712474619
"178",4,0,0,12,129,0,2.82842712474619
"179",4,0,0,2,129,0,2.82842712474619
"180",4,0,0,2,128,0,2.82842712474619
"181",4,0,0,3,304,0,2.82842712474619
"182",4,0,0,18,302,0,2.82842712474619
"183",4,0,0,0,329,0,2.82842712474619
"184",4,0,0,0,327,0,2.82842712474619
"185",4,0,0,6,229,0,2.82842712474619
"186",4,0,0,1,0,0,2.82842712474619
"187",4,0,0,6,0,0,2.82842712474619
"188",4,0,0,0,0,0,2.82842712474619
"189",4,0,0,0,0,0,2.82842712474619
"190",4,0,0,0,0,0,2.82842712474619
"191",4,0,0,2,0,0,2.82842712474619
"192",4,0,0,2,3,0,2.82842712474619
"193",4,0,0,2,8,0,2.82842712474619
"194",4,0,0,3,10,0,2.82842712474619
"195",4,0,0,3,10,0,2.82842712474619
"196",4,0,0,3,0,0,2.82842712474619
"197",4,0,0,5,17,0,2.82842712474619
"198",4,0,0,3,217,0,2.82842712474619
"199",4,0,0,23,149,0,2.82842712474619
"200",4,0,0,0,73,0,2.82842712474619
"201",4,0,0,11,108,0,2.82842712474619
"202",4,0,0,0,7,0,2.82842712474619
"203",4,0,0,1,273,0,2.82842712474619
"204",4,0,0,0,199,0,2.82842712474619
"205",4,0,0,6,55,0,2.82842712474619
"206",4,0,0,7,199,0,2.82842712474619
"207",4,0,0,0,173,0,2.82842712474619
"208",4,0,0,8,26,0,2.82842712474619
"209",4,0,0,3,6,0,2.82842712474619
"210",4,0,0,9,9,0,2.82842712474619
"211",5,0,0,0,0,0,1
"212",5,0,0,0,0,0,1
"213",5,0,0,0,0,0,1
"214",5,0,0,0,0,0,1
